year,annual_mean_tmax_c,annual_max_tmax_c,days_any_hot_30,days_any_hot_35,mean_hot_area_share_30,max_hot_area_share_30,mean_hot_area_share_35,max_hot_area_share_35
1951,12.999018405506849,34.60000051558018,30,0,0.006742656523573902,0.6222941209003927,0.0,0.0
1952,11.940225200537,39.60000059008598,35,12,0.019843649841650643,0.9646977490183065,0.001493106461119256,0.24588518334162934
1953,13.447587401965375,35.50000052899122,40,3,0.011079919661371621,0.47766439909297054,1.7425390915916427e-07,4.148000663680106e-05
1954,11.776742122873056,35.50000052899122,20,2,0.005520401723446925,0.5953072285824899,2.219843277549354e-06,0.000790885459875007
1955,11.746111130828536,34.30000051110983,15,0,0.0013495586451531276,0.328267241856092,0.0,0.0
1956,10.94663673449056,33.00000049173832,16,0,0.00043182273575830443,0.05603395829876666,0.0,0.0
1957,12.724899423125864,39.1000005826354,24,8,0.01793142426811464,0.9308528289364526,0.0016975209729732186,0.2095901775344284
1958,12.186497316631405,34.60000051558018,26,0,0.002907502236889856,0.266221447928765,0.0,0.0
1959,13.939021412135471,39.00000058114529,46,4,0.012517605327017765,0.9034041258779935,0.0017235984492917334,0.2705851446269565
1960,12.400052120916815,34.80000051856041,19,0,0.0024198710538460354,0.25845915602013164,0.0,0.0
1961,13.226625983791662,34.80000051856041,29,0,0.008251081700081748,0.7195813284663459,0.0,0.0
1962,11.288165152565584,36.10000053793192,27,3,0.005251088518712976,0.35933300149328024,9.318796011555307e-06,0.0017145069409877773
1963,11.523801971533622,37.60000056028366,30,6,0.011072244913111698,0.8591864388031636,0.00046896272708883083,0.15081577346385708
1964,12.342996557559953,37.200000554323196,42,11,0.02497946399671424,0.8800121674686134,0.00040299073114518367,0.07286101432442896
1965,11.560348427033949,36.10000053793192,15,1,0.002211903360297231,0.269307560422543,4.091178736780379e-07,0.00014932802389248383
1966,12.439080205782325,37.000000551342964,25,1,0.0058589316114016615,0.8476522316243571,3.775248823217894e-05,0.013779658204745313
1967,13.097056218550762,35.30000052601099,27,1,0.00853200173041708,0.47472208395553345,7.652019489163302e-07,0.0002792987113544605
1968,12.175799274494732,34.70000051707029,23,0,0.004980116796818688,0.2441209003926774,0.0,0.0
1969,11.948435212778907,35.60000053048134,30,3,0.015453101833226887,0.83625629113434,8.280848813520285e-06,0.0029257231347823683
1970,11.636175326603377,34.50000051409006,32,0,0.00378838605271711,0.25751617720258835,0.0,0.0
1971,12.881931450303824,36.80000054836273,36,6,0.01664948371597219,0.7638294342127094,6.429211622281166e-05,0.011539737846358056
1972,12.02866047249332,35.50000052899122,26,4,0.01082147639810289,0.592323433438416,4.6088896263112296e-07,7.466401194624192e-05
1973,12.4461700943882,35.200000524520874,39,1,0.012207312148603733,0.6301144848183176,3.030502767985466e-08,1.106133510314695e-05
1974,12.801747780942984,37.500000558793545,18,3,0.006983710289996386,0.8805320502184614,0.00026897984942947,0.09606493003705548
1975,13.075436059930286,35.30000052601099,40,4,0.015506491715741868,0.6267020629389968,2.886553886506156e-06,0.0009457441513190643
1976,12.759453921865497,38.60000057518482,45,14,0.024487763473597712,0.9066589237320944,0.0008244321319091412,0.1525828217465848
1977,12.559981573810306,34.20000050961971,14,0,0.0022562244632790196,0.36218406061611635,0.0,0.0
1978,11.679962595810679,33.70000050216913,16,0,0.0038635652501339103,0.3708865660085172,0.0,0.0
1979,11.759293690026965,34.30000051110983,26,0,0.004963895347647913,0.36361097284442234,0.0,0.0
1980,11.494652290028002,35.30000052601099,12,1,0.0031216160550141237,0.47155854211603343,1.541333579946706e-06,0.0005641280902604944
1981,12.150197284952078,34.60000051558018,27,0,0.00398258824634654,0.3339417067640064,0.0,0.0
1982,13.272191561898849,36.0000005364418,45,3,0.014808983622405417,0.6291327913279133,2.1289281945097894e-06,0.0006470881035340965
1983,13.342977721586829,40.00000059604645,58,10,0.024404729705669998,0.8954067805984183,0.0013196324303192712,0.2087190973950556
1984,11.847428959373495,38.000000566244125,19,4,0.007939220381386374,0.7476688236270118,0.0006460529922573677,0.23319783197831978
1985,11.660081604115755,37.70000056177378,34,2,0.005816330318740705,0.7807671035894033,1.796330515723385e-05,0.0034732592223881424
1986,12.203551356053262,37.500000558793545,38,3,0.009864794119006329,0.8077844145788396,0.00024867548088396737,0.046523975443836074
1987,11.34790099210569,35.00000052154064,28,1,0.0031870736934934353,0.7279796471434102,7.576256919963665e-09,2.7653337757867376e-06
1988,12.989533935617867,35.30000052601099,26,2,0.004163905110669262,0.49971793595486974,2.1155558940444985e-07,6.913334439466844e-05
1989,13.937603515631771,37.200000554323196,32,3,0.010874974335429685,0.7348680935788949,0.00018895184758389378,0.06883745368065926
1990,13.818628449593303,37.70000056177378,38,6,0.0140659119199523,0.7934102096123002,0.00033409777765655763,0.07563740943531884
1991,12.71139333275048,37.70000056177378,46,6,0.012159763560174041,0.7195232564570544,0.0002953527997678635,0.074896299983408
1992,13.584404004016887,40.00000059604645,53,12,0.02371280512738215,0.9763951108898844,0.0023638466004376785,0.5047867927658869
1993,12.655135735388772,34.30000051110983,33,0,0.0031178494340157264,0.2349870029312538,0.0,0.0
1994,13.902858850882374,39.7000005915761,48,16,0.04207357606145254,0.9506000774293457,0.0025871099080015123,0.279110668657707
1995,13.053922263624669,37.200000554323196,44,6,0.025410349015427533,0.9178059841822908,0.0001477067049116116,0.045937724683369284
1996,11.239583453593944,35.10000052303076,29,1,0.006183898322757065,0.7974475969249488,2.1155558940444985e-07,7.742934572202865e-05
1997,13.283858926512638,35.60000053048134,41,2,0.011640479334622813,0.7013107682097229,2.6516899219872826e-07,7.742934572202865e-05
1998,13.085774977876655,39.20000058412552,31,8,0.017921878184395484,0.823806758475748,0.0012642954497758564,0.17706155632984902
1999,13.7399439396691,36.200000539422035,39,4,0.01129442622354655,0.5696006858027763,7.583075551191632e-05,0.026630164260826282
2000,13.997063856280462,38.300000570714474,39,6,0.013749345311006361,0.9263563962170234,0.0008410241345638616,0.16592555721475583
2001,13.085100022017237,37.000000551342964,42,7,0.017643329522476103,0.9219926995188319,0.00027775315494278787,0.055948232951717275
2002,13.625925696616308,38.20000056922436,37,6,0.015223488214753549,0.970759360654831,0.0003210211582127003,0.11357778883911288
2003,14.24000126604989,41.20000061392784,84,24,0.047986806706199585,0.9579392732702837,0.006911705544229051,0.4587108013937282
2004,13.082147014971557,34.70000051707029,30,0,0.009856223799218031,0.45077982412477186,0.0,0.0
