year,days_ge_25_0c,days_ge_25_5c,days_ge_26_0c,days_ge_26_5c,days_ge_27_0c,days_ge_27_5c,days_ge_28_0c,days_ge_28_5c,days_ge_29_0c,days_ge_29_5c,days_ge_30_0c,days_ge_30_5c,days_ge_31_0c,days_ge_31_5c,days_ge_32_0c,days_ge_32_5c,days_ge_33_0c,days_ge_33_5c,days_ge_34_0c,days_ge_34_5c,days_ge_35_0c,days_ge_35_5c,days_ge_36_0c,days_ge_36_5c,days_ge_37_0c,days_ge_37_5c,days_ge_38_0c,days_ge_38_5c,days_ge_39_0c,days_ge_39_5c,days_ge_40_0c,days_ge_40_5c,days_ge_41_0c,days_ge_41_5c,days_ge_42_0c,days_ge_25_0c__no_airports,days_ge_25_5c__no_airports,days_ge_26_0c__no_airports,days_ge_26_5c__no_airports,days_ge_27_0c__no_airports,days_ge_27_5c__no_airports,days_ge_28_0c__no_airports,days_ge_28_5c__no_airports,days_ge_29_0c__no_airports,days_ge_29_5c__no_airports,days_ge_30_0c__no_airports,days_ge_30_5c__no_airports,days_ge_31_0c__no_airports,days_ge_31_5c__no_airports,days_ge_32_0c__no_airports,days_ge_32_5c__no_airports,days_ge_33_0c__no_airports,days_ge_33_5c__no_airports,days_ge_34_0c__no_airports,days_ge_34_5c__no_airports,days_ge_35_0c__no_airports,days_ge_35_5c__no_airports,days_ge_36_0c__no_airports,days_ge_36_5c__no_airports,days_ge_37_0c__no_airports,days_ge_37_5c__no_airports,days_ge_38_0c__no_airports,days_ge_38_5c__no_airports,days_ge_39_0c__no_airports,days_ge_39_5c__no_airports,days_ge_40_0c__no_airports,days_ge_40_5c__no_airports,days_ge_41_0c__no_airports,days_ge_41_5c__no_airports,days_ge_42_0c__no_airports,days_ge_25_0c__no_cities,days_ge_25_5c__no_cities,days_ge_26_0c__no_cities,days_ge_26_5c__no_cities,days_ge_27_0c__no_cities,days_ge_27_5c__no_cities,days_ge_28_0c__no_cities,days_ge_28_5c__no_cities,days_ge_29_0c__no_cities,days_ge_29_5c__no_cities,days_ge_30_0c__no_cities,days_ge_30_5c__no_cities,days_ge_31_0c__no_cities,days_ge_31_5c__no_cities,days_ge_32_0c__no_cities,days_ge_32_5c__no_cities,days_ge_33_0c__no_cities,days_ge_33_5c__no_cities,days_ge_34_0c__no_cities,days_ge_34_5c__no_cities,days_ge_35_0c__no_cities,days_ge_35_5c__no_cities,days_ge_36_0c__no_cities,days_ge_36_5c__no_cities,days_ge_37_0c__no_cities,days_ge_37_5c__no_cities,days_ge_38_0c__no_cities,days_ge_38_5c__no_cities,days_ge_39_0c__no_cities,days_ge_39_5c__no_cities,days_ge_40_0c__no_cities,days_ge_40_5c__no_cities,days_ge_41_0c__no_cities,days_ge_41_5c__no_cities,days_ge_42_0c__no_cities,days_ge_25_0c__no_airports_no_cities,days_ge_25_5c__no_airports_no_cities,days_ge_26_0c__no_airports_no_cities,days_ge_26_5c__no_airports_no_cities,days_ge_27_0c__no_airports_no_cities,days_ge_27_5c__no_airports_no_cities,days_ge_28_0c__no_airports_no_cities,days_ge_28_5c__no_airports_no_cities,days_ge_29_0c__no_airports_no_cities,days_ge_29_5c__no_airports_no_cities,days_ge_30_0c__no_airports_no_cities,days_ge_30_5c__no_airports_no_cities,days_ge_31_0c__no_airports_no_cities,days_ge_31_5c__no_airports_no_cities,days_ge_32_0c__no_airports_no_cities,days_ge_32_5c__no_airports_no_cities,days_ge_33_0c__no_airports_no_cities,days_ge_33_5c__no_airports_no_cities,days_ge_34_0c__no_airports_no_cities,days_ge_34_5c__no_airports_no_cities,days_ge_35_0c__no_airports_no_cities,days_ge_35_5c__no_airports_no_cities,days_ge_36_0c__no_airports_no_cities,days_ge_36_5c__no_airports_no_cities,days_ge_37_0c__no_airports_no_cities,days_ge_37_5c__no_airports_no_cities,days_ge_38_0c__no_airports_no_cities,days_ge_38_5c__no_airports_no_cities,days_ge_39_0c__no_airports_no_cities,days_ge_39_5c__no_airports_no_cities,days_ge_40_0c__no_airports_no_cities,days_ge_40_5c__no_airports_no_cities,days_ge_41_0c__no_airports_no_cities,days_ge_41_5c__no_airports_no_cities,days_ge_42_0c__no_airports_no_cities
1951,94,86,76,73,66,62,55,48,44,38,30,22,15,11,8,6,5,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,86,76,72,66,62,55,48,44,38,30,22,15,11,8,6,5,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,86,75,72,66,62,54,48,44,38,30,22,15,11,7,6,5,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,86,75,72,66,62,54,48,44,38,30,22,15,11,7,6,5,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,104,92,80,77,72,64,58,53,48,39,35,31,30,26,24,23,21,17,15,13,12,11,9,8,5,5,3,3,2,1,0,0,0,0,0,104,92,80,77,72,64,58,53,47,39,35,31,30,26,24,23,21,17,15,13,12,11,9,8,5,5,3,3,2,1,0,0,0,0,0,104,91,79,77,71,64,58,53,48,39,35,31,29,26,24,23,21,17,15,13,12,11,9,7,5,5,3,3,1,1,0,0,0,0,0,104,91,79,77,71,64,58,53,47,39,35,31,29,26,24,23,21,17,15,13,12,11,9,7,5,5,3,3,1,1,0,0,0,0,0
1953,105,96,87,81,76,72,67,56,51,46,40,37,36,29,24,19,14,10,10,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,105,96,87,81,76,72,67,56,51,46,40,37,36,29,24,18,14,10,10,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,105,96,86,80,76,72,66,55,50,45,39,36,36,29,24,18,14,8,8,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,105,96,86,80,76,72,66,55,50,45,39,36,36,29,24,18,14,8,8,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1954,74,66,59,54,49,43,40,33,27,23,20,17,14,9,8,6,5,4,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,74,66,59,54,49,43,40,33,27,23,20,17,14,9,8,6,5,4,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,73,65,58,54,49,43,40,33,26,22,20,17,14,9,8,6,5,4,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,73,65,58,54,49,43,40,33,26,22,20,17,14,9,8,6,5,4,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1955,99,90,76,69,61,44,35,31,24,20,15,11,5,3,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,90,76,69,61,44,35,31,24,20,15,11,5,3,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,89,76,68,60,44,35,31,23,20,15,11,4,3,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,89,76,68,60,44,35,31,23,20,15,11,4,3,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956,86,73,67,55,47,41,35,29,23,20,16,12,10,7,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,73,67,55,47,41,35,29,23,20,16,12,10,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,70,66,55,46,41,34,28,23,20,15,11,10,7,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,70,66,55,46,41,34,28,23,20,15,11,10,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,66,57,53,47,44,43,36,34,31,26,24,21,20,20,16,12,11,10,10,8,8,7,4,4,4,4,3,3,1,0,0,0,0,0,0,66,57,53,47,44,43,36,34,31,25,24,21,20,20,16,12,11,10,10,8,8,7,4,4,4,4,3,3,1,0,0,0,0,0,0,63,57,53,47,44,43,36,34,30,25,24,21,20,19,15,11,11,9,8,8,8,7,4,4,4,4,3,3,0,0,0,0,0,0,0,63,57,53,47,44,43,36,34,30,25,24,21,20,19,15,11,11,9,8,8,8,7,4,4,4,4,3,3,0,0,0,0,0,0,0
1958,93,86,80,70,63,57,54,46,37,33,26,23,19,14,11,8,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,86,80,70,63,57,54,46,37,33,26,23,19,14,11,8,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,86,80,70,63,56,52,45,37,33,26,23,19,14,11,8,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,86,80,70,63,56,52,45,37,33,26,23,19,14,11,8,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959,120,112,107,94,85,81,79,72,61,51,46,38,34,25,19,11,7,5,5,4,4,4,3,3,3,3,3,3,2,0,0,0,0,0,0,120,112,107,94,85,81,79,72,61,51,46,38,34,25,19,11,7,5,5,4,4,4,3,3,3,3,3,3,2,0,0,0,0,0,0,117,109,105,94,85,81,77,72,59,50,45,38,34,25,18,11,7,5,5,4,4,4,3,3,3,3,2,2,1,0,0,0,0,0,0,117,109,105,94,85,81,77,72,59,50,45,38,34,25,18,11,7,5,5,4,4,4,3,3,3,3,2,2,1,0,0,0,0,0,0
1960,78,71,60,55,48,42,37,29,24,19,19,16,12,9,9,7,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,71,60,55,48,42,37,29,24,19,19,16,11,9,9,7,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,71,60,55,47,42,37,29,24,19,19,16,11,9,9,7,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,71,60,55,47,42,37,29,24,19,19,16,11,9,9,7,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
